,Sentiment,Tweets,id,len,date,source,likes,retweets
0,1,Fiat Chrysler will be adding more than 6 500 JOBS in Michigan Detroit area doubling its hourly workforce as part,1100687085999132672,140,2019-02-27 09:20:25,Twitter for iPhone,296,106
1,-1,Michael Cohen was one of many lawyers who represented me unfortunately He had other clients also He was just di,1100683974899363840,140,2019-02-27 09:08:03,Twitter for iPhone,3887,1139
2,1,I have now spent more time in Vietnam than Da Nang Dick Blumenthal the third rate Senator from Connecticut how is,1100666476422410240,140,2019-02-27 07:58:32,Twitter for iPhone,16934,4561
3,-1,No I did not I support a minimum wage I do not however believe in a minimum guarantee for people unwilling to work whi,1100664978955272193,140,2019-02-27 07:52:35,Twitter for iPhone,0,6319
4,-1,Senate Democrats just voted against legislation to prevent the killing of newborn infant children The Democrat positi,1100664742815899648,140,2019-02-27 07:51:38,Twitter for iPhone,0,60749
5,-1,This will be remembered as one of the most shocking votes in the history of Congress If there is one thing we sho,1100664733588484096,140,2019-02-27 07:51:36,Twitter for iPhone,0,49620
6,-1,The Democrats should stop talking about what I should do with North Korea and ask themselves instead why they didn,1100585431211618310,140,2019-02-27 02:36:29,Twitter for iPhone,103124,24615
7,1,Vietnam is thriving like few places on earth North Korea would be the same and very quickly if it would denuclea,1100584141274398720,140,2019-02-27 02:31:21,Twitter for iPhone,66457,15210
8,1,Just arrived in Vietnam Thank you to all of the people for the great reception in Hanoi Tremendous crowds and so much love,1100412227662708737,126,2019-02-26 15:08:14,Twitter for iPhone,153924,25489
9,-1,This will be remembered as one of the most shocking votes in the history of Congress If there is one thing we,1100211499350450176,139,2019-02-26 01:50:37,Twitter for iPhone,186281,49620
10,-1,Senate Democrats just voted against legislation to prevent the killing of newborn infant children The Democrat pos,1100211495223218176,140,2019-02-26 01:50:36,Twitter for iPhone,183173,60749
11,1,If a deal is made with China our great American Farmers will be treated better than they have ever been treated before,1100184874466664448,120,2019-02-26 00:04:49,Twitter for iPhone,104673,20718
12,1,Heading over to Vietnam for my meeting with Kim Jong Un Looking forward to a very productive Summit,1100127553203798016,101,2019-02-25 20:17:02,Twitter for iPhone,104359,18414
13,1,China Trade Deal and more in advanced stages Relationship between our two Countries is very strong I have there,1100126391729774592,140,2019-02-25 20:12:25,Twitter for iPhone,74571,15477
14,-1,our foreign partners Recovering American hostages is a priority of my Admin and with Danny s release we have,1100110416812724224,139,2019-02-25 19:08:57,Twitter for iPhone,90429,16959
15,1,Danny s recovery reflects the best of what the United States amp its partners can accomplish We work every day to,1100110413209858048,144,2019-02-25 19:08:56,Twitter for iPhone,81405,14187
16,-1,It is my honor today to announce that Danny Burch a United States citizen who has been held hostage in Yemen for 1,1100110409736978432,140,2019-02-25 19:08:55,Twitter for iPhone,147735,30759
17,1,Congratulations to on his 20th PGA Tour WIN Not only is Dustin a truly great golfer he is a wonderfu,1100105732450443265,140,2019-02-25 18:50:20,Twitter for iPhone,63133,9097
18,1,Since my election as President the Dow Jones is up 43 and the NASDAQ Composite almost 50 Great news for your 401,1100050798015401984,140,2019-02-25 15:12:02,Twitter for iPhone,104901,22695
19,-1,Why on earth would any Republican vote not to put up a Wall or against Border Security Please explain that to me,1100048114382266374,126,2019-02-25 15:01:23,Twitter for iPhone,102125,21915
20,1,I hope our great Republican Senators don t get led down the path of weak and ineffective Border Security Without s,1100017237228949506,140,2019-02-25 12:58:41,Twitter for iPhone,103011,25576
21,-1,Former Senator Harry Reid he got thrown out is working hard to put a good spin on his failed career He led throu,1100015815515082752,140,2019-02-25 12:53:02,Twitter for iPhone,98964,23221
22,1,Meeting for breakfast with our Nation s Governors then off to Vietnam for a very important Summit with Kim Jong U,1100012620441100290,140,2019-02-25 12:40:20,Twitter for iPhone,74399,15864
23,-1,So funny to watch people who have failed for years they got NOTHING telling me how to negotiate with North Korea Bu,1100010251791859712,140,2019-02-25 12:30:55,Twitter for iPhone,0,35852
24,1,This Admin is committed to ensuring more Americans have the skills needed to secure better jobs in our strong economy I,1100002435395973121,139,2019-02-25 11:59:52,Twitter for iPhone,0,7043
25,1,Oil prices getting too high OPEC please relax and take it easy World cannot take a price hike fragile,1100002139282309121,107,2019-02-25 11:58:41,Twitter for iPhone,84713,17778
26,1,Be nice if Spike Lee could read his notes or better yet not have to use notes at all when doing his racist hit on,1100000030319169537,140,2019-02-25 11:50:18,Twitter for iPhone,150724,30994
27,1,Highly respected Senator Richard Burr head of Senate Intelligence said after interviewing over 200 witnesses and st,1099996565551439872,140,2019-02-25 11:36:32,Twitter for iPhone,0,34858
28,-1,We have a State of Emergency at our Southern Border Border Patrol our Military and local Law Enforcement are doin,1099995611305254912,140,2019-02-25 11:32:45,Twitter for iPhone,89543,19513
29,-1,productive talks I will be delaying the U S increase in tariffs now scheduled for March 1 Assuming both side,1099803719435239426,140,2019-02-24 22:50:14,Twitter for iPhone,104786,22043
30,1,I am pleased to report that the U S has made substantial progress in our trade talks with China on important struc,1099800961089003522,140,2019-02-24 22:39:17,Twitter for iPhone,108912,22416
31,-1,So funny to watch people who have failed for years they got NOTHING telling me how to negotiate with North Korea But thanks anyway,1099722424059420673,134,2019-02-24 17:27:12,Twitter for iPhone,160592,35852
32,-1,The only Collusion with the Russians was with Crooked Hillary Clinton and the Democratic National Committee And,1099713451457462273,139,2019-02-24 16:51:33,Twitter for iPhone,133775,34777
33,1,93 Approval Rating in the Republican Party 52 Approval Rating overall Not bad considering I get the most unfair,1099685950077222913,140,2019-02-24 15:02:16,Twitter for iPhone,151435,31784
34,-1,Poll Suburban women are coming back into the Republican Party in droves because of the Wall and Border Security,1099684406002925568,139,2019-02-24 14:56:08,Twitter for iPhone,109441,24321
35,1,Chairman Kim realizes perhaps better than anyone else that without nuclear weapons his country could fast become,1099660044004704260,140,2019-02-24 13:19:19,Twitter for iPhone,76132,16865
36,-1,President Xi of China has been very helpful in his support of my meeting with Kim Jong Un The last thing China wan,1099656646840778752,140,2019-02-24 13:05:49,Twitter for iPhone,82474,16820
37,1,Very productive talks yesterday with China on Trade Will continue today I will be leaving for Hanoi Vietnam ear,1099654763531055104,140,2019-02-24 12:58:20,Twitter for iPhone,91689,18615
38,-1,HOLD THE DATE We will be having one of the biggest gatherings in the history of Washington D C on July 4th It,1099651121088466946,139,2019-02-24 12:43:52,Twitter for iPhone,201114,44974
39,-1,REPO China is proposing that it could buy an additional 30 billion a year of U S agricultural products including s,1099519797799370752,140,2019-02-24 04:02:02,Twitter for iPhone,0,11888
40,1,Was wonderful to meet so many inspiring young patriots last night when I spoke to the Latino conference,1099518449234202626,140,2019-02-24 03:56:41,Twitter for iPhone,0,6142
41,-1,MASSIVE Update Lawsuit to Expose Coup Against Another FBI Cover up of potential Clinton e,1099516651345772546,140,2019-02-24 03:49:32,Twitter for iPhone,0,12141
42,1,President delivers more great news for our farmers,1099514371590508544,106,2019-02-24 03:40:28,Twitter for iPhone,0,16279
43,1,Drug trafficking at our southern border has exploded CBP seized nearly 5X as much methamphetamine in 2018 than it did,1099514316666126336,139,2019-02-24 03:40:15,Twitter for iPhone,0,13369
44,-1,AmericaFirst The media doesn t want to give the credit for once again exerting American do,1099513644034019331,140,2019-02-24 03:37:35,Twitter for iPhone,0,10628
45,1,So great being with you both in the Oval Office,1099513093653258245,72,2019-02-24 03:35:24,Twitter for iPhone,119863,24523
46,1,Thank you for serving the well and congratulations to my friend and new Laura Cox I,1099512557222674437,140,2019-02-24 03:33:16,Twitter for iPhone,0,5379
47,-1,There s not one shred of evidence that this president s done anything Constitutionally or anything else wrong,1099459138038444034,139,2019-02-24 00:01:00,Twitter for iPhone,132304,27495
48,1,The people of Venezuela stand at the threshold of history ready to reclaim their country and their future,1099398639942856705,136,2019-02-23 20:00:36,Twitter for iPhone,106003,32941
49,-1,74 years ago today Marines on Iwo Jima raised the flag atop Mount Suribachi Semper Fidelis,1099397344632729605,128,2019-02-23 19:55:27,Twitter for iPhone,0,30026
50,1,There is far more ENERGY on the Right than there is on the Left That s why we just won the Senate and why we will,1099366469010366464,139,2019-02-23 17:52:46,Twitter for iPhone,120945,28118
51,-1,God Bless the people of Venezuela,1099360827591835648,34,2019-02-23 17:30:21,Twitter for iPhone,204843,59935
52,1,Great new book The Case For Trump by Victor Davis Hanson Hoover Senior Fellow,1099341141152055296,82,2019-02-23 16:12:07,Twitter for iPhone,72465,15264
53,1,Kelly has done an outstanding job representing our Nation and I have no doubt that under her leadership our C,1099082126354509826,140,2019-02-22 23:02:53,Twitter for iPhone,92514,14887
54,1,I am pleased to announce that Kelly Knight Craft our current Ambassador to Canada is being nominated to be United,1099082125523992576,140,2019-02-22 23:02:53,Twitter for iPhone,118536,20668
55,-1,BREAKING In Oval Office meeting today the Chinese committed to buy an additional 10 million metric tons of U S soybe,1099079277977522176,140,2019-02-22 22:51:34,Twitter for iPhone,0,23687
56,-1,A must read by,1098976205238398976,52,2019-02-22 16:01:59,Twitter for iPhone,68954,20999
57,-1,Fake News is so bad for our Country,1098959451292426241,60,2019-02-22 14:55:25,Twitter for iPhone,92582,24371
58,1,Highly respected Senator Richard Burr head of Senate Intelligence said after interviewing over 200 witnesses and,1098948459405721600,140,2019-02-22 14:11:44,Twitter for iPhone,145081,34858
59,1,Wonderful evening at celebrating AfricanAmericanHistoryMonth,1098771986686316544,110,2019-02-22 02:30:30,Twitter for iPhone,0,20784
60,1,We are here to honor the extraordinary contributions of African Americans to every aspect of American Life History,1098740934588751872,140,2019-02-22 00:27:07,Twitter for iPhone,120023,31465
61,1,Senator John Cornyn has done an outstanding job for the people of Texas He is strong on Crime the Border the Sec,1098676390780719104,140,2019-02-21 20:10:38,Twitter for iPhone,100798,21190
62,-1,what about MAGA and the tens of millions of people you insulted with your racist and dangerous comments MAGA,1098615818512941057,130,2019-02-21 16:09:57,Twitter for iPhone,222776,56581
63,1,THE WALL IS UNDER CONSTRUCTION RIGHT NOW,1098587583469228037,65,2019-02-21 14:17:45,Twitter for iPhone,134060,31682
64,1,something that is so obviously the future I want the United States to win through competition not by blocking,1098583029713420288,140,2019-02-21 13:59:39,Twitter for iPhone,125121,23347
65,1,I want 5G and even 6G technology in the United States as soon as possible It is far more powerful faster and s,1098581869233344512,140,2019-02-21 13:55:02,Twitter for iPhone,142746,28454
66,-1,I have instructed Secretary of State Mike Pompeo and he fully agrees not to allow Hoda Muthana back into the Country,1098327855145062411,119,2019-02-20 21:05:41,Twitter for iPhone,203156,40951
67,1,We have just built this powerful Wall in New Mexico Completed on January 30 2019 47 days ahead of schedule Man,1098295228837048325,140,2019-02-20 18:56:02,Twitter for iPhone,196293,51251
68,-1,California now wants to scale back their already failed fast train project by substantially shortening the distan,1098224105931853827,140,2019-02-20 14:13:25,Twitter for iPhone,131332,28535
69,1,The New York Times reporting is false They are a true ENEMY OF THE PEOPLE,1098218016255414272,75,2019-02-20 13:49:13,Twitter for iPhone,115236,27434
70,-1,If thinking that James Comey is not a good FBI Director is tantamount to being an agent of Russia than just list,1098204256602066945,139,2019-02-20 12:54:33,Twitter for iPhone,96283,25401
71,1,The Washington Post ignored basic journalistic standards because it wanted to advance its well known and easily do,1098201685518893056,140,2019-02-20 12:44:20,Twitter for iPhone,124577,30227
72,1,The Press has never been more dishonest than it is today Stories are written that have absolutely no basis in fact,1098195686540169223,140,2019-02-20 12:20:29,Twitter for iPhone,144302,32399
73,-1,Crazy Bernie has just entered the race I wish him well,1098192352072646656,56,2019-02-20 12:07:14,Twitter for iPhone,166846,27674
74,-1,Andrew McCabe gave absolutely no evidence of any threat to substantiate his ABSURD claim,1098191360987930624,101,2019-02-20 12:03:18,Twitter for iPhone,73125,16017
75,-1,This is crazy scary A cabal of unelected bureaucrats angered amp upset that fired their boss whispered a,1098083558093135873,144,2019-02-20 04:54:56,Twitter for iPhone,0,19901
76,-1,,1097901336308400128,23,2019-02-19 16:50:51,Twitter for iPhone,89732,27064
77,-1,I never said anything bad about Andrew McCabe s wife other than she they should not have taken large amounts of c,1097889803864064001,140,2019-02-19 16:05:01,Twitter for iPhone,116415,25994
78,1,The Washington Post is a Fact Checker only for the Democrats For the Republicans and for your all time favorite P,1097879075979436033,140,2019-02-19 15:22:23,Twitter for iPhone,122100,26031
79,1,The failed Fast Train project in California where the cost overruns are becoming world record setting is hundreds,1097856727020720128,140,2019-02-19 13:53:35,Twitter for iPhone,112916,25087
80,-1,As I predicted 16 states led mostly by Open Border Democrats and the Radical Left have filed a lawsuit in of co,1097856404629700609,140,2019-02-19 13:52:18,Twitter for iPhone,92663,22338
81,-1,Had the opposition party no not the Media won the election the Stock Market would be down at least 10 000 point,1097835706024644608,140,2019-02-19 12:30:03,Twitter for iPhone,103799,20312
82,1,The Witch Hunt in time likely will become recognized as the greatest scandal in American political history,1097833456254492672,139,2019-02-19 12:21:07,Twitter for iPhone,86498,22131
83,-1,Remember this Andrew McCabe didn t go to the bathroom without the approval of Leakin James Comey,1097698985953898497,99,2019-02-19 03:26:47,Twitter for iPhone,103627,24522
84,1,defender Our country is making unprecedented progress thanks to the fact that we finally have a president who is,1097698232510136321,140,2019-02-19 03:23:47,Twitter for iPhone,0,10374
85,1,Thank you Andrew We all miss beautiful Meadow,1097697667684155392,72,2019-02-19 03:21:32,Twitter for iPhone,86279,19154
86,-1,Thank you JT,1097695719706845184,37,2019-02-19 03:13:48,Twitter for iPhone,60544,13431
87,1,Amazing,1097692456911626243,32,2019-02-19 03:00:50,Twitter for iPhone,126417,35208
88,-1,The biggest abuse of power and corruption scandal in our history and it s much worse than we thought Andrew McCa,1097690731882446849,140,2019-02-19 02:53:59,Twitter for iPhone,96003,27771
89,1,Today more than 50 countries around the world now recognize the rightful government of Venezuela The Venezuelan pe,1097666398778785792,140,2019-02-19 01:17:17,Twitter for iPhone,84812,25243
90,-1,I ask every member of the Maduro regime End this nightmare of poverty hunger and death LET YOUR PEOPLE GO Set y,1097625026801688579,140,2019-02-18 22:32:53,Twitter for iPhone,149015,41723
91,1,The people of Venezuela are standing for FREEDOM and DEMOCRACY and the United States of America is standing right by their side,1097624329154674689,130,2019-02-18 22:30:07,Twitter for iPhone,111666,31258
92,1,We are here to proclaim that a new day is coming in Latin America In Venezuela and across the Western Hemisphere,1097623506580357120,139,2019-02-18 22:26:51,Twitter for iPhone,96176,30379
93,1,A beautiful ceremony at hospital today to celebrate their new changes I hope the garden nurtures amp heals all th,1097595165479448576,144,2019-02-18 20:34:14,Twitter for iPhone,0,15852
94,1,Hope you are enjoying your President s Day our Country is making unprecedented progress,1097592331405066242,89,2019-02-18 20:22:58,Twitter for iPhone,155602,24417
95,-1,This was an illegal coup attempt on the President of the United States Dan Bongino on True,1097488256848007173,110,2019-02-18 13:29:25,Twitter for iPhone,115209,30289
96,1,Great analysis by,1097481581332185088,33,2019-02-18 13:02:53,Twitter for iPhone,60839,10110
